ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",1,"Hispanic or Latino",2015,"2015",1747,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",13353,0.10180928200553535
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",28.999999999999996,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",26,0.00019823570224997521
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",222,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",223,0.0017002523692978644
6,"Two or More Races",0,"Not Hispanic or Latino",2015,"2015",577.6313703392501,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",3466,0.026426343999939005
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",1804,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",29538,0.22521100665614494
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",54,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",37,0.0002821046532018878
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",77,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",142,0.0010826719122883262
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",2009,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",19866,0.15146732541915414
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",1429,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",7810,0.05954695517585794
6,"Two or More Races",0,"Not Hispanic or Latino",2014,"2014",674.6332336907217,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",3560,0.027332263587436373
3,"Asian Alone",1,"Hispanic or Latino",2014,"2014",61,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",83,0.0006372409768980952
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",1242,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",7095,0.054472587121590185
5,"Some Other Race Alone",1,"Hispanic or Latino",2014,"2014",1886,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",19559,0.1501662200861427
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2014,"2014",88,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",141,0.0010825419005136316
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2014,"2014",32,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",16,0.00012284163410083762
1,"Black or African American Alone",0,"Not Hispanic or Latino",2014,"2014",1356,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",29295,0.2249153544365024
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2014,"2014",448,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",810,0.0062188577263549046
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2014,"2014",180,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",197,0.0015124876198665633
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2014,"2014",39,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",29,0.0002226504618077682
0,"White Alone",1,"Hispanic or Latino",2014,"2014",1344,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",13731,0.10542115486491259
6,"Two or More Races",1,"Hispanic or Latino",2014,"2014",1492.3287171397594,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",9468,0.07269153697917066
3,"Asian Alone",0,"Not Hispanic or Latino",2014,"2014",1171,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",10217,0.07844206097551612
0,"White Alone",0,"Not Hispanic or Latino",2014,"2014",1909,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",36048,0.2767622016291872
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",32,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",21,0.00016074093918634467
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",1117,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",9673,0.07404033832140533
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",1436,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",7683,0.05880822075088982
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",175,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",169,0.0012935818439282023
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",587.3304010520824,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",3416,0.026147192774312066
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",40,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",32,0.0002449385739982395
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",432,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",634,0.00485284549734012
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",74,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",134,0.0010256802786176278
0,"White Alone",1,"Hispanic or Latino",2013,"2013",1627,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",13601,0.10410654827968924
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",1592.4211126457726,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",9645,0.07382601706915688
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",1516,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",29163,0.22322323854720807
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",1687.0000000000002,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",35895,0.2747521910520877
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",2485,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",20434,0.1564085881587508
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",84,"Hamilton Heights, Manhattanville & West Harlem PUMA, NY","79500US3603802","hamilton-heights-manhattanville-&-west-harlem-puma-ny",145,0.0011098779134295228
